Index,Address,Room Count,Size,Price
72,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",3,44 m²,99 000 €
73,"Tartu, Tartu linn, Raadi-Kruusamäe, Puiestee tn 112a",2,35.9 m²,84 000 €
74,"Tartu, Tartu linn, Ülejõe, Jaama tn 21",1,18.8 m²,49 900 €
75,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9",3,56 m²,100 000 €
76,"Tartu, Supilinn, Herne 45a",2,48.6 m²,182 000 €
77,"Tartu, Tartu linn, Ülejõe, Jaama tn 52-2",4,86.1 m²,289 900 €
78,"Tartu, Tartu linn, Ülejõe, Jaama 27",1,41 m²,73 900 €
79,"Tartu, Tartu linn, Veeriku, Veeriku tn 8",2,49 m²,137 000 €
80,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-9",3,64.3 m²,188 900 €
81,"Tartu, Tartu linn, Kesklinn, Vallikraavi tn 11-6",2,52.8 m²,199 000 €
82,"Tartu, Kesklinn, Jaama tn 52-3",3,86.3 m²,306 900 €
83,"Tartu, Tartu linn, Karlova, Lootuse 25",2,38.6 m²,75 000 €
84,"Tartu, Annelinn, Jaama 193",3,64.4 m²,97 000 €
85,"Tartu, Tartu linn, Annelinn, kaunase pst 18",2,48.8 m²,85 000 €
86,"Tartu, Tartu linn, Vaksali, Tiigi 61a-18",4,134.5 m²,590 000 €
87,"Tartu, Tartu linn, Annelinn, Kaunase pst 36",2,49.1 m²,75 500 €
88,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 71/1",4,74.2 m²,195 000 €
89,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 5",1,31.2 m²,65 000 €
90,"Tartu, Tartu linn, Veeriku, Sangla tn 25-5",1,27.7 m²,95 000 €
91,"Tartu, Tartu linn, Ropka, Ropka 15a",2,47 m²,100 000 €
92,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi 64a-1",3,63 m²,173 900 €
94,"Tartu, Tartu linn, Karlova, Turu tn 35",1,32.7 m²,68 900 €
95,"Tartu, Kesklinn, Jaama tn 52-2",4,86.1 m²,289 900 €
96,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9-28",3,56 m²,100 000 €
97,"Tartu, Tartu linn, Ülejõe, Põllu 6",2,45.3 m²,86 000 €
98,"Tartu, Tartu linn, Kesklinn, Tiigi 13",2,36.8 m²,135 000 €
99,"Tartu, Tartu linn, Karlova, Turu tn 31",1,33.3 m²,75 900 €
100,"Tartu, Tartu linn, Karlova, rebase 17",1,17.2 m²,95 000 €
101,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli 4a-7",2,50.2 m²,145 900 €
102,"Tartu, Tartu linn, Ropka, Aardla tn 5",3,62.6 m²,115 000 €
103,"Tartu, Tartu linn, Kesklinn, Küüni tn 5b",4,186.2 m²,426 000 €
104,"Tartu, Kesklinn, Savi tn 6a",4,71.8 m²,249 000 €
105,"Tartu, Tartu linn, Annelinn, Pikk 100",3,65 m²,119 000 €
106,"Tartu, Tartu linn, Annelinn, Kalda tee 28-46",2,47.4 m²,95 000 €
107,"Tartu, Tartu linn, Karlova, Salme 8",2,45.2 m²,95 000 €
108,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 18-5",2,48.3 m²,154 900 €
109,"Tartu, Tartu linn, Ropka tööstusrajoon, Aardla tn 4-9",1,9.6 m²,41 000 €
110,"Tartu, Tartu linn, Tammelinn, Riia tn 61",4,127 m²,480 000 €
111,"Tartu, Tartu linn, Veeriku, Tulbi tn 2c",4,111.5 m²,205 000 €
112,"Tartu, Tartu linn, Ropka, Ropka tn 15a-15",3,62.4 m²,110 000 €
113,"Tartu, Tartu linn, Kesklinn, Pikk tn 2-73 (Broneeritud)",1,29.7 m²,87 000 €
114,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",2,44 m²,99 000 €
115,"Tartu, Tartu linn, Variku, Pärnaõie tn 15  UUS HIND!",3,53.7 m²,153 000 €
116,"Tartu, Tartu linn, Annelinn, Kaunase pst 3",3,63.3 m²,109 000 €
117,"Tartu, Tartu linn, Supilinn, Tähtvere tn 59-5",1,27.7 m²,49 500 €
118,"Tartu, Tartu linn, Annelinn, Mõisavahe 63",3,64.5 m²,99 000 €
119,"Tartu, Tartu linn, Ülejõe, Uus tn 63a",2,44 m²,125 900 €
120,"Tartu, Tartu linn, Annelinn, Ihaste põik 22",3,58.1 m²,195 000 €
121,"Tartu, Kesklinn, Tiigi tn 23",2,38.5 m²,119 000 €
122,"Tartu, Tartu linn, Annelinn, Kaunase pst 57-6",4,76.1 m²,95 000 €
123,"Tartu, Tartu linn, Jaamamõisa, Lehe tn 23-5",2,34.9 m²,119 900 €
124,"Tartu, Karlova, Nõva 1",2,48.6 m²,112 000 €
125,"Tartu, Tartu linn, Kesklinn, Riia tn 3-1",3,82.6 m²,174 000 €
126,"Tartu, Tartu linn, Karlova, Kastani tn 133 (Broneeritud)",3,60.3 m²,199 500 €
127,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 20",3,66.9 m²,165 000 €
128,"Tartu, Tartu linn, Vaksali, Kastani 127",3,78.9 m²,125 000 €
129,"Tartu, Tartu linn, Annelinn, Sõpruse pst 8",3,58.8 m²,109 900 €
130,"Tartu, Tartu linn, Ülejõe, Uus tn 5",3,64.7 m²,112 000 €
131,"Tartu, Tartu linn, Supilinn, Oa tn 45-4",3,61.8 m²,265 000 €
132,"Tartu, Kesklinn, Jaama tn 52-4",2,62.7 m²,205 900 €
133,"Tartu, Tartu linn, Ropka tööstusrajoon, Alasi tn 31a",2,46.1 m²,99 900 €
134,"Tartu, Annelinn, Ihaste põik 22",3,69.9 m²,222 000 €
135,"Tartu, Tartu linn, Annelinn, Kivilinna, Jaama 175",2,47 m²,79 900 €
136,"Tartu, Tartu linn, Ülejõe, Uus 21-5",3,54.2 m²,199 000 €
137,"Tartu, Tartu linn, Raadi-Kruusamäe, Põllu tn 8-1A",2,53.3 m²,89 000 €
138,"Tartu, Tartu linn, Ropka tööstusrajoon, Ringtee 7",1,35.8 m²,96 000 €
139,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 8",3,60.6 m²,126 790 €
140,"Tartu, Tartu linn, Vaksali, Kastani tn 133-2",2,47.4 m²,199 000 €
141,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",1,33.7 m²,79 500 €
142,"Tartu, Tartu linn, Annelinn, Kaunase pst 15",3,63 m²,115 500 €
143,"Tartu, Tartu linn, Annelinn, Anne 49",2,47 m²,79 000 €
144,"Tartu, Tartu linn, Kesklinn, KAKS KÖÖKTUBA!, Aleksandri tn 16 (Broneeritud)",2,24 m²,68 000 €
145,"Tartu, Tartu linn, Ülejõe, Uus tn 13b",2,41.2 m²,115 500 €
146,"Tartu, Ülejõe, Staadioni 3",2,56.5 m²,180 750 €
147,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25",1,16 m²,34 000 €
148,"Tartu, Tartu linn, Annelinn, Kaunase Puiestee 13-23",2,46.7 m²,105 000 €
149,"Tartu, Tartu linn, Ülejõe, Pärna tn 23-1",3,47.4 m²,144 000 €
150,"Tartu, Tartu linn, Annelinn, Jaama tn 193-71",1,30.3 m²,67 000 €
151,"Tartu, Tartu linn, Ränilinn, Aardla 132",3,65.7 m²,120 000 €
152,"Tartu, Tartu linn, Raadi-Kruusamäe, Jänese tn 22-4",2,32 m²,26 500 €
153,"Tartu, Tartu linn, Ropka, Ülenurme alevik, Paruni 17-5/1",3,61 m²,154 900 €
154,"Tartu, Tartu linn, Annelinn, Anne tn 53",3,59.4 m²,87 000 €
155,"Tartu, Tartu linn, Veeriku, Sangla tn 25-25",3,59.9 m²,123 000 €
156,"Tartu, Tartu linn, Supilinn, Emajõe tn 12",5,135.5 m²,269 000 €
157,"Tartu, Tartu linn, Raadi-Kruusamäe, Vilja 45",4,62 m²,149 000 €
158,"Tartu, Tartu linn, Vaksali, Kooli tn 18-3",2,41 m²,115 000 €
159,"Tartu, Tartu linn, Karlova, L. Tolstoi tn 9",2,28.7 m²,85 900 €
160,"Tartu, Tartu linn, Raadi-Kruusamäe, Muru tn 20",1,22 m²,67 000 €
161,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9-55",3,58.7 m²,92 900 €
162,"Tartu, Kesklinn, Väike-Turu 5",2,49.5 m²,177 500 €
163,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 7",3,72.4 m²,240 000 €
164,"Tartu, Tartu linn, Annelinn, Jaama tn 191",3,65.5 m²,114 000 €
165,"Tartu, Tartu linn, Ülejõe, Mäe tn 12  UUS HIND!",2,37 m²,55 000 €
166,"Tartu, Tartu linn, Karlova, Turu tn 35a-7",2,35.8 m²,135 000 €
167,"Tartu, Tartu linn, Ülejõe, Ujula põik 8",2,41.1 m²,181 500 €
168,"Tartu, Tartu linn, Veeriku, Ravila tn 42",1,28.5 m²,76 000 €
169,"Tartu, Tartu linn, Ülejõe, Pikk tn 52 (Broneeritud)",3,48.6 m²,123 456 €
170,"Tartu, Annelinn, Kalda tee 28",3,57.7 m²,79 900 €
171,"Tartu, Tartu linn, Variku, Timuti tn 5",6,106.9 m²,205 000 €
172,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadi, Tila, Vahi, Tartu, Pärna allee 10-1",2,63.1 m²,138 900 €
173,"Tartu, Tartu linn, Annelinn, Linnupargi, Ihaste põik 34",3,54.1 m²,179 750 €
174,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-10",3,63 m²,180 900 €
175,"Tartu, Tartu linn, Annelinn, Annelinn, Mõisavahe 35",3,65.5 m²,110 000 €
176,"Tartu, Tartu linn, Annelinn, Jaama tn 185-34",2,45.9 m²,95 000 €
177,"Tartu, Tartu linn, Ülejõe, Jaama tn 77-35",2,49.4 m²,129 000 €
178,"Tartu, Kesklinn, Jaama tn 52a",4,85 m²,309 900 €
179,"Tartu, Tartu linn, Annelinn, Kaunase pst 8",2,45.8 m²,77 900 €
180,"Tartu, Kesklinn, Kalevi 4",2,56.8 m²,159 000 €
181,"Tartu, Tartu linn, Annelinn, Kalda tee 20",2,38.4 m²,99 900 €
182,"Tartu, Tartu linn, Karlova, Tähe tn 91",2,42 m²,114 000 €
183,"Tartu, Tartu linn, Annelinn, Annelinn, Anne 59",3,67 m²,109 970 €
184,"Tartu, Tartu linn, Annelinn, Sõpruse pst 8 (Broneeritud)",3,58.8 m²,112 900 €
185,"Tartu, Tartu linn, Karlova, Siili tn 2",3,61.3 m²,223 000 €
186,"Tartu, Tartu linn, Annelinn, Anne 86",2,45.8 m²,89 900 €
187,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli 20a",4,97.4 m²,240 000 €
188,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe 15",2,58.1 m²,142 000 €
189,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia tn 20a",3,63.6 m²,265 000 €
190,"Tartu, Ülejõe, Staadioni 3",1,32.3 m²,125 750 €
191,"Tartu, Tartu linn, Karlova, Kesk 7",1,16 m²,63 900 €
192,"Tartu, Tartu linn, Ihaste, Krookuse tn 2",4,99.6 m²,219 000 €
193,"Tartu, Tartu linn, Annelinn, Kaunase pst 52",3,63 m²,115 000 €
194,"Tartu, Tartu linn, Annelinn, Jaama 181",3,68.4 m²,89 900 €
195,"Tartu, Tartu linn, Ülejõe, Ujula tn 81-12",3,53.4 m²,269 000 €
196,"Tartu, Tartu linn, Kesklinn, Jakobi 25",3,75.4 m²,202 500 €
197,"Tartu, Tartu linn, Kesklinn, Kroonuaia tn 31-6",3,69.4 m²,320 000 €
198,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-8",2,45.9 m²,148 900 €
199,"Tartu, Ülejõe, Pikk tn 82",2,43.1 m²,110 000 €
200,"Tartu, Tartu linn, Kesklinn, Kivi tn 21 (Broneeritud)",2,49.2 m²,122 000 €
201,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 11-39",3,58 m²,190 000 €
202,"Tartu, Tartu linn, Ropka, Ülenurme alevik, Paruni 17-5/2",2,58.9 m²,129 900 €
203,"Tartu, Tartu linn, Veeriku, Ravila tn 56",4,76.6 m²,154 000 €
204,"Tartu, Tartu linn, Ülejõe, Uus tn 27",2,41.4 m²,109 000 €
205,"Tartu, Tartu linn, Annelinn, Kaunase pst 61-29",2,46.3 m²,74 800 €
206,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 46",3,65.2 m²,120 000 €
207,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 2",1,33.7 m²,88 800 €
208,"Tartu, Tartu linn, Kesklinn, Pepleri tn 34 (Broneeritud)",1,15 m²,89 000 €
209,"Tartu, Tartu linn, Karlova, Kesk tn 16-6",2,32 m²,108 000 €
211,"Tartu, Tartu linn, Karlova, Kesk tn 19 (Broneeritud)",3,64 m²,159 900 €
212,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 22-3",4,91.3 m²,256 900 €
213,"Tartu, Tartu linn, Ropka, Ropka mõis, Ropka tee 6-3",2,44.2 m²,114 000 €
214,"Tartu, Tartu linn, Veeriku, Ilmatsalu tn 46",4,78.2 m²,171 000 €
