Index,Address,Room Count,Size,Price,Accessibility
233,"Tartu, Tartu linn, Karlova, Kuu 19",2,53.9 m²,69 000 €,Baastase
234,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-2",2,45.2 m²,130 990 €,-
235,"Tartu, Tartu linn, Karlova, Siili tn 10-25",2,46.8 m²,160 000 €,-
236,"Tartu, Tartu linn, Ülejõe, Jaama tn 65",3,77.9 m²,148 000 €,Baastase
237,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",4,76.4 m²,99 500 €,Baastase
238,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 20",2,45.6 m²,84 000 €,Baastase
239,"Tartu, Tartu linn, Kesklinn, Raekoja plats 11",2,53.9 m²,235 000 €,Hea tase
240,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-21",4,84.1 m²,239 900 €,-
241,"Tartu, Annelinn, Salu tee",2,43.7 m²,105 000 €,-
242,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 8",3,67.8 m²,194 000 €,-
243,"Tartu, Tartu linn, Karlova, Tolstoi 22-3",1,29.9 m²,79 000 €,Baastase
244,"Tartu, Tartu linn, Kesklinn, Jakobi 19",3,59.3 m²,174 000 €,Hea tase
245,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 32/1-16",3,63.4 m²,250 000 €,Hea tase
246,"Tartu, Kesklinn, Võru 20",2,52.1 m²,149 000 €,Hea tase
247,"Tartu, Tartu linn, Ropka, Aardla 5",3,66.1 m²,120 000 €,Baastase
248,"Tartu, Tartu linn, Kesklinn, Võru tn 65a-7",4,68.9 m²,238 000 €,Baastase
249,"Tartu, Ülejõe, Pikk 78",3,57.7 m²,103 500 €,Hea tase
250,"Tartu, Tartu linn, Ülejõe, Uus tn 36",3,48 m²,129 000 €,Baastase
251,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-7",2,50.2 m²,151 900 €,-
252,"Tartu, Tartu linn, Kesklinn, Lossi tn 21",3,110 m²,399 000 €,Hea tase
253,"Tartu, Tartu linn, Ränilinn, Aardla tn 124",2,43.1 m²,124 500 €,-
254,"Tartu, Ülejõe, Aruküla tee 2",2,44.9 m²,169 000 €,-
255,"Tartu, Tartu linn, Karlova, Võru tn 65a-7",4,68.9 m²,238 000 €,Baastase
256,"Tartu, Tartu linn, Pärna tn 23 // 25",1,29 m²,86 000 €,Baastase
257,"Tartu, Kesklinn, Fortuuna 27-17",4,129 m²,699 000 €,Hea tase
258,"Tartu, Annelinn, Nõlvaku 9",4,78.5 m²,125 000 €,Baastase
259,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 1 (Broneeritud)",2,46.8 m²,83 900 €,Baastase
260,"Tartu, Kesklinn, Vallikraavi tn 11",4,86.3 m²,230 000 €,Hea tase
261,"Tartu, Tartu linn, Kesklinn, Lao 2",2,45 m²,89 000 €,Hea tase
262,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-3",3,52.9 m²,151 990 €,-
263,"Tartu, Tartu linn, Annelinn, Kaunase pst 17",4,75.9 m²,118 000 €,Baastase
264,"Tartu, Kesklinn, Kummeli tn 10b",3,62.9 m²,174 000 €,-
265,"Tartu, Tartu linn, Ülejõe, Ujula põik 1-6",2,50.8 m²,232 000 €,-
266,"Tartu, Tartu linn, Variku, Rehetare tee 11-3",4,164.9 m²,285 000 €,-
267,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-10 (Broneeritud)",1,37.7 m²,119 990 €,-
268,"Tartu, Tartu linn, Annelinn, Mõisavahe 71/1b",3,63.9 m²,178 900 €,Baastase
269,"Tartu, Karlova, Võru 38",1,23.6 m²,67 000 €,Hea tase
270,"Tartu, Tartu linn, Karlova, Ees-Karlova, Tolstoi 12 (Broneeritud)",3,97.2 m²,220 000 €,Baastase
271,"Tartu, Tartu linn, Ränilinn, Teemandi tn 3",2,49.9 m²,89 000 €,-
272,"Tartu, Annelinn, Kaunase pst 28",4,76.6 m²,125 000 €,Baastase
