ads_oid,ehr_gid,ehr_kood,ehr_url,etak_id,taisaadres,lahiaadres,kaos_kood,kaos_nimet,unik,MYRAKLASS
EE00752980,"104019243",104019243,https://livekluster.ehr.ee/ui/ehr/v1/building/104019243,714112,"Tartu maakond, Tartu linn, Tartu linn, Turu tn 15",Turu tn 15,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00773388,"104041346",104041346,https://livekluster.ehr.ee/ui/ehr/v1/building/104041346,728966,"Tartu maakond, Tartu linn, Tartu linn, Teguri tn 3",Teguri tn 3,"11101",Üksikelamu,Jah,"55"
EE00765397,"104032436",104032436,https://livekluster.ehr.ee/ui/ehr/v1/building/104032436,644979,"Tartu maakond, Tartu linn, Tartu linn, Lootuse tn 25",Lootuse tn 25,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00758202,"104024730",104024730,https://livekluster.ehr.ee/ui/ehr/v1/building/104024730,719748,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 64",Tähe tn 64,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
ME00748572,"104014461",104014461,https://livekluster.ehr.ee/ui/ehr/v1/building/104014461,726607,"Tartu maakond, Tartu linn, Tartu linn, Pargi tn 10",Pargi tn 10,"11222; 12129; 12201","Muu kolme või enama korteriga elamu; Muu lühiajalise majutuse hoone; Büroohoone",Jah,"55"
EE00747983,"104013820",104013820,https://livekluster.ehr.ee/ui/ehr/v1/building/104013820,644159,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 88a",Kalevi tn 88a,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE01894330,"104033351",104033351,https://livekluster.ehr.ee/ui/ehr/v1/building/104033351,725495,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 17",Aardla tn 17,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00749127,"104015081",104015081,https://livekluster.ehr.ee/ui/ehr/v1/building/104015081,724452,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 111",Tähe tn 111,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00774120,"104042134",104042134,https://livekluster.ehr.ee/ui/ehr/v1/building/104042134,719694,"Tartu maakond, Tartu linn, Tartu linn, Vaba tn 16",Vaba tn 16,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00749036,"104014961",104014961,https://livekluster.ehr.ee/ui/ehr/v1/building/104014961,722677,"Tartu maakond, Tartu linn, Tartu linn, Sõbra tn 30",Sõbra tn 30,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00748025,"104013864",104013864,https://livekluster.ehr.ee/ui/ehr/v1/building/104013864,717098,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 107",Kalevi tn 107,"11101",Üksikelamu,Jah,"55"
EE00773810,"104041812",104041812,https://livekluster.ehr.ee/ui/ehr/v1/building/104041812,742363,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 36",Kesk tn 36,"11101",Üksikelamu,Jah,"55"
EE00749129,"104015083",104015083,https://livekluster.ehr.ee/ui/ehr/v1/building/104015083,724832,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 115",Tähe tn 115,"11101",Üksikelamu,Jah,"55"
EE00758629,"104025193",104025193,https://livekluster.ehr.ee/ui/ehr/v1/building/104025193,722969,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 83",Tähe tn 83,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00749359,"104015323",104015323,https://livekluster.ehr.ee/ui/ehr/v1/building/104015323,722029,"Tartu maakond, Tartu linn, Tartu linn, Vaba tn 38",Vaba tn 38,"11101",Üksikelamu,Jah,"55"
EE00750860,"104016938",104016938,https://livekluster.ehr.ee/ui/ehr/v1/building/104016938,715117,"Tartu maakond, Tartu linn, Tartu linn, Turu tn 11",Turu tn 11,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
