Index,Address,Room Count,Size,Price,Teenus_arv,Teenustase,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Toidukoht_arv,Parkimisnorm,Parkimis_koefitsent,MYRAKLASS,Longitude,Latitude,Distance
74,"Tartu, Tartu linn, Ülejõe, Jaama tn 21",1,18.8,49900,30.0,Hea tase,54.96665445,1.0,2.0,8.0,14.0,45.0,0.45033346,50.0,26.7309381868116,58.3865121,876.0067938721065
75,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9",3,56.0,100000,12.0,Baastase,51.26807142,2.0,1.0,3.0,6.0,74.0,0.74365964,40.0,26.754043412574063,58.38411,1911.8138643133714
76,"Tartu, Supilinn, Herne 45a",2,48.6,182000,12.0,Baastase,42.1718452,1.0,2.0,1.0,10.0,79.0,0.78914077,45.0,26.71197938760952,58.38721645,995.3122322802938
77,"Tartu, Tartu linn, Ülejõe, Jaama tn 52-2",4,86.1,289900,14.0,Baastase,55.04044478,2.0,2.0,8.0,8.0,72.0,0.72479778,55.0,26.73952554529616,58.384876000000006,1141.1673259187103
78,"Tartu, Tartu linn, Ülejõe, Jaama 27",1,41.0,73900,23.0,Hea tase,57.09311575,1.0,2.0,10.0,15.0,43.0,0.42906884,55.0,26.73194750000001,58.38609,875.1116288103701
79,"Tartu, Tartu linn, Veeriku, Veeriku tn 8",2,49.0,137000,24.0,Baastase,55.12629238,2.0,4.0,3.0,4.0,72.0,0.72436854,40.0,26.69352925,58.3749055,1778.2441841953912
80,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-9",3,64.3,188900,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.75054107562552,58.39220170178444,2133.5787409981417
81,"Tartu, Tartu linn, Kesklinn, Vallikraavi tn 11-6",2,52.8,199000,112.0,Hea tase,61.19480539,3.0,6.0,9.0,148.0,39.0,0.38805195,46.17695630081301,26.72047601177864,58.3782015,235.99849377762825
82,"Tartu, Kesklinn, Jaama tn 52-3",3,86.3,306900,14.0,Baastase,55.04044478,2.0,2.0,8.0,8.0,72.0,0.72479778,55.0,26.73952554529616,58.384876000000006,1141.1673259187103
83,"Tartu, Tartu linn, Karlova, Lootuse 25",2,38.6,75000,34.0,Hea tase,64.80287572,2.0,4.0,9.0,37.0,35.0,0.35197124,55.0,26.72326288621672,58.36977415,1151.56891067009
84,"Tartu, Annelinn, Jaama 193",3,64.4,97000,21.0,Baastase,26.57337897,4.0,6.0,10.0,10.0,87.0,0.86713311,46.17695630081301,26.764925415048545,58.3769835,2519.7833686285926
85,"Tartu, Tartu linn, Annelinn, kaunase pst 18",2,48.8,85000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.765332961858974,58.3757455,2565.902866050141
86,"Tartu, Tartu linn, Vaksali, Tiigi 61a-18",4,134.5,590000,31.0,Hea tase,57.6196126,2.0,5.0,5.0,35.0,42.0,0.42380387,46.17695630081301,26.711758494827595,58.374339500000005,888.6892946241633
87,"Tartu, Tartu linn, Annelinn, Kaunase pst 36",2,49.1,75500,12.0,Baastase,35.08545566,4.0,7.0,8.0,5.0,82.0,0.82457272,45.0,26.768165,58.372387,2819.5374192772915
88,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 71/1",4,74.2,195000,6.0,Baastase,33.57136216,1.0,2.0,5.0,2.0,83.0,0.83214319,46.17695630081301,26.77412075705074,58.367012,3366.2077378089166
89,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 5",1,31.2,65000,15.0,Baastase,50.90087685,3.0,1.0,4.0,8.0,75.0,0.74549562,46.17695630081301,26.75329982437271,58.3832165,1848.316322235237
90,"Tartu, Tartu linn, Veeriku, Sangla tn 25-5",1,27.7,95000,20.0,Baastase,47.98740366,1.0,3.0,3.0,4.0,76.0,0.76006298,46.17695630081301,26.6925015,58.374192,1861.8080748775028
91,"Tartu, Tartu linn, Ropka, Ropka 15a",2,47.0,100000,4.0,Baastase,60.50196532,2.0,4.0,4.0,8.0,70.0,0.69749017,46.17695630081301,26.726130394635,58.3573626,2542.6121442973736
92,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi 64a-1",3,63.0,173900,4.0,-,10.46764837,0.0,1.0,2.0,1.0,100.0,1.0,46.17695630081301,26.71622173694607,58.4020675,2472.3025326845172
